language	method	confidence	file
Abkhazian	content-text	high	Gurgulia-3.pdf
Abkhazian	content-text	high	Khashig-Azhgeri.pdf
Abkhazian	content-text	high	Lomia-2-3.pdf
Abkhazian	content-text	high	Mikaja-1.pdf
Abkhazian	content-text	high	Shinkuba-1.pdf
Abkhazian	content-text	high	Shinkuba-2.pdf
Abkhazian	content-text	high	Tarba-5.pdf
Abkhazian	content-text	high	Vozba-1.pdf
Abkhazian	content-text	high	Vozba-2.pdf
Abkhazian	content-text	high	gulia-kamachich.pdf
Abkhazian	content-text	high	gulia-stikhotvoreniya.pdf
Abkhazian	content-text	high	tsvizhba-izbrannoe.pdf
Abkhazian	content-text	high	zantaria-sobranie.pdf
Russian	content-text	high	1. Abkhazou_V_Rodnik_bessmertiya_2018.pdf
Russian	content-text	high	100. khvartskiya_i_dom_na_okraine_2015.pdf
Russian	content-text	high	103. Tsvinaria_Tvorchestvo_B.V.Shinkuba.pdf
Russian	content-text	high	103. dzhapua_z_nekotorye_zametki_po_abhazskomu_folkloru_i_literature_2012.pdf
Russian	content-text	high	109. Chania_T_Za_trideviat_zemel.pdf
Russian	content-text	high	112. Chachkhalia_D_Poezia_otrazheny_2019.pdf
Russian	content-text	high	113. Chachkhalia_D_Epokha_Bagrata_II_2019.pdf
Russian	content-text	high	117. Shariya_V_Abkhazskaya_tragediya-1993.pdf
Russian	content-text	high	120. Shinkuba_Rassechennyi_kamen_.pdf
Russian	content-text	high	121. shinkuba_posledniy_iz_ushedshih_2014.pdf
Russian	content-text	high	122. Shinkuba_B_Izbrannye_proizvedeniya_I_2017.pdf
Russian	content-text	high	123. Shinkuba_B_Izbrannye_proizvedeniya_II_2017.pdf
Russian	content-text	high	124. Shinkuba_B_Izbrannye_proizvedeniya_III_2017.pdf
Russian	content-text	high	15. Basariya_E_Sobranie_I_2011.pdf
Russian	content-text	high	16. Basariya_E_Sobranie_II_2011.pdf
Russian	content-text	high	21. Bebia_Periodicheskaya_pechat_Abkhazii.pdf
Russian	content-text	high	22. Basarja_V_Sobranie_sochineny_v_5_tomakh_tom_1_2006.pdf
Russian	content-text	high	22. Biguaa_Abkhazskiy_istoricheskiy_roman.pdf
Russian	content-text	high	25. Venediktova_N_Vozhdelenie_intellekta_k_jabloku_2014.pdf
Russian	content-text	high	26. venediktova_n_tsezar_i_venediktova_2015.pdf
Russian	content-text	high	27. Biguaa_V_A_Zhurnal_Alashara_2017.pdf
