RU1	%
RU403	Они
RU404	общипываюттраву
RU405	до
RU406	самых
RU407	корней,
RU408	почти
RU409	ничего
RU410	не
RU411	оставляя
RU412	после
RU413	себя,
RU414	но
RU415	через
RU416	несколько
RU417	дней
RU418	растение
RU419	оправится
RU420	и
RU421	снова
RU422	станет
RU423	пищей
RU424	для
RU425	самых
RU426	многочисленных
RU427	стад
RU428	на
RU429	планете.
RU430	Травы
RU431	произрастают
RU432	не
RU433	только
RU434	в
RU435	тропиках.
RU436	Эти
RU437	злаки
RU438	умудряются
RU439	расти
RU440	даже
RU441	в
RU442	суровых
RU443	условиях
RU444	Арктики.
RU445	За
RU446	крайним
RU447	пределом
RU448	лесов
RU449	наша
RU450	планета
RU451	пустынна
RU452	и
RU453	скована
RU454	льдом,
RU455	зимой
RU456	это
RU457	-
RU458	ледяная
RU459	пустошь
RU460	на
RU461	краю
RU462	Земли.
RU463	Но
RU464	каждый
RU465	год
RU466	на
RU467	короткое
RU468	время
RU469	долгая
RU470	полярная
RU471	зима
RU472	ослабляет
RU473	свою
RU474	хватку.
RU475	Температура
RU476	повышается,
RU477	и
RU478	трава,
RU479	дремавшая
RU480	подо
RU481	льдом
RU482	зимой
RU483	снова
RU484	пускается
RU485	в
RU486	рост.
RU487	В
RU488	Арктику
RU489	возвращается
RU490	зелёный
RU491	цвет.
RU492	щтступающий
RU493	лёд
RU494	обнажает
RU495	огромную
RU496	равнину,
RU497	размером
RU498	с
RU499	Австралию,
RU500	но
RU501	это
RU502	-
RU503	арктическая
RU504	тундра.
RU505	По-началу,
RU506	кажется,
RU507	необитаемая,
RU508	безмолвная
RU509	пустыня,
RU510	но
RU511	очень
RU512	скоро
RU513	всё
RU514	изменится.
RU515	Арктические
RU516	белые
RU517	гуси.
RU518	Они
RU519	зимуют
RU520	на
RU521	берегах
RU522	Мексиканского
RU523	залива
RU524	и
RU525	весной
RU526	летят
RU527	через
RU528	всю
RU529	северную
RU530	Америку,
RU531	чтобы
RU532	попасть
RU533	в
RU534	тундру.
RU535	Ежегодно
RU536	это
RU537	путешествие
RU538	совершают
RU539	5
RU540	миллионов
RU541	птиц.
RU542	До
RU543	горизонта
RU544	одни
RU545	белые
RU546	гуси.
RU547	Протяжённость
RU548	их
RU549	марафонской
RU550	миграции
RU551	составляет
RU552	почти
RU553	5
RU554	тысяч
RU555	километров,
RU556	и
RU557	длится
RU558	она
RU559	3
RU560	месяца.
RU561	В
RU562	конце
RU563	концов,
RU564	обессилевшие
RU565	птицы
RU566	приземляются
RU567	за
RU568	полярным
RU569	кругом,
RU570	в
RU571	своихтрадиционных
RU572	местах
RU573	размножения.
RU574	Белые
RU575	гуси
RU576	образуют
RU577	пары
RU578	на
RU579	всю
RU580	жизнь,
RU581	прилетающие
RU582	пары
RU583	сразу
RU584	заявляют
RU585	свои
RU586	права
RU587	на
RU588	подходящий
RU589	для
RU590	гнездования
RU591	участок
RU592	земли.
RU593	Идеальных
RU594	мест
RU595	мало,
RU596	и
RU597	между
RU598	соседями
RU599	часто
RU600	возникают
RU601	ссоры.
RU602	Иногда
RU603	дело
RU604	доходит
RU605	и
RU606	до
RU607	драки.
RU608	Прямо
RU609	воздушный
RU610	бой.
RU611	Но
RU612	вот
RU613	участок
RU614	отвоёван.
RU615	Тундра
RU616	находится
RU617	очень
RU618	далеко,
RU619	но
RU620	на
RU621	короткий
RU622	период
RU623	это
RU624	-
RU625	идеальное
RU626	место
RU627	для
RU628	травоядных.
RU629	Во
RU630	время
RU631	короткого,
RU632	но
RU633	интенсивного
RU634	лета,
RU635	трава
RU636	растёт
RU637	очень
RU638	бурно,
RU639	и
RU640	здесь
RU641	гораздо
RU642	меньше
RU643	хищников,
RU644	чем
RU645	в
RU646	южных
RU647	районах.
RU648	Здесь
RU649	гуси
RU650	могут
RU651	относительно
RU652	безопасно
RU653	гнездиться
RU654	на
RU655	земле.
RU656	Тем
RU657	не
RU658	менее,
RU659	эта
RU660	самка
RU661	будет
RU662	сидеть
RU663	на
RU664	яйцахтри
RU665	недели,
RU666	и
RU667	всё
RU668	это
RU669	время
RU670	будет
RU671	очень
RU672	уязвима.
RU673	За
RU674	птичьей
RU675	колонией
RU676	наблюдает
RU677	песец,
RU678	полярная
RU679	лиса.
RU680	Эта
RU681	самка
RU682	ждала
RU683	гусей
RU684	всю
RU685	зиму.
RU686	Конечно,
RU687	незаметно
RU688	подкрасться
RU689	не
RU690	удаётся.
RU691	Но
RU692	говорят,
RU693	счастье
RU694	сопутствует
RU695	храбрым.
RU696	Колония
RU697	хорошо
RU698	защищена,
RU699	на
RU700	лёгкую
RU701	добычу
RU702	не
RU703	приходится
RU704	рассчитывать.
RU705	Голодного
RU706	хищника
RU707	прогоняют
RU708	от
RU709	каждого
RU710	гнезда,
RU711	но
RU712	голод
RU713	заставляет
RU714	её
RU715	пытаться
RU716	снова
RU717	и
RU718	снова.
RU719	Унесла,
RU720	всё-таки
RU721	унесла.
RU722	В
RU723	колонии
RU724	больше
RU725	яиц,
RU726	чем
RU727	она
RU728	может
RU729	съесть,
RU730	но
RU731	период
RU732	гнездования
RU733	короток,
RU734	и
RU735	она
RU736	прячет
RU737	поживу
RU738	про
RU739	запас,
RU740	чтобы
RU741	съесть,
RU742	когда
RU743	гуси
RU744	уже
RU745	улетят.
RU746	Вот
RU747	это
RU748	предусмотрительно.
RU749	А
RU750	южнее
RU751	по
RU752	тундре
RU753	рыщут
RU754	более
RU755	крупные
RU756	хищники.
RU757	Полярные
RU758	волки.
RU759	Им
RU760	добывать
RU761	пищу
RU762	на
RU763	равнинах
RU764	ещё
RU765	труднее,
RU766	их
RU767	добыча
RU768	носит
RU769	сезонный
RU770	характер
RU771	и
RU772	найти
RU773	её
RU774	трудно.
RU775	Многодневные
RU776	поиски
RU777	пока
RU778	так
RU779	и
RU780	не
RU781	принесли
RU782	результата.
RU783	Но
RU784	они
RU785	знают,
RU786	их
RU787	добыча
RU788	бродит
RU789	где-то
RU790	здесь,
RU791	на
RU792	этих
RU793	бескрайних
RU794	просторах.
RU795	Вот
RU796	она.
RU797	северный
RU798	олень,
RU799	карибу.
RU800	Проходя
RU801	по
RU802	50
RU803	километров
RU804	в
RU805	день,
RU806	за
RU807	лето
RU808	олени
RU809	способны
RU810	проделать
RU811	более
RU812	трёхтысяч
RU813	километров.
RU814	Если
RU815	волки
RU816	не
RU817	найдут
RU818	оленей,
RU819	они
RU820	могут
RU821	просто
RU822	умереть
RU823	с
RU824	голода.
RU825	Но
RU826	найти
RU827	добычу,
RU828	которая
RU829	никогда
RU830	не
RU831	останавливается,
RU832	это
RU833	-
RU834	трудная
RU835	задача.
RU836	Укусы
RU837	мошкары
RU838	и
RU839	поиски
RU840	новых
RU841	пастбищ
RU842	заставляют
RU843	их
RU844	постоянно
RU845	двигаться
RU846	вперёд.
RU847	Наконец,
RU848	волк
RU849	взял
RU850	след.
