RU1	%
RU1694	планеты,
RU1695	и
RU1696	самые
RU1697	мелкие.
RU1698	Карликовые
RU1699	свиньи
RU1700	размером
RU1701	не
RU1702	больше
RU1703	зайца,
RU1704	это
RU1705	самые
RU1706	мелкие
RU1707	и
RU1708	редкие
RU1709	из
RU1710	всех
RU1711	диких
RU1712	свиней.
RU1713	самка
RU1714	собираеттраву,
RU1715	но
RU1716	не
RU1717	для
RU1718	еды.
RU1719	Карликовая
RU1720	свинка
RU1721	стоит
RU1722	гнездо.
RU1723	Поросятки
RU1724	у
RU1725	неё
RU1726	такие
RU1727	маленькие,
RU1728	что
RU1729	каждый
RU1730	умещается
RU1731	на
RU1732	ладони.
RU1733	А
RU1734	у
RU1735	неё
RU1736	их
RU1737	10.
RU1738	Очаровательные
RU1739	свинки.
RU1740	Вот
RU1741	каких
RU1742	размеров
RU1743	может
RU1744	достичь
RU1745	трава,
RU1746	при
RU1747	неограниченном
RU1748	количестве
RU1749	солнечного
RU1750	света
RU1751	и
RU1752	воды.
RU1753	Но
RU1754	на
RU1755	большинстве
RU1756	равнин
RU1757	тропического
RU1758	пояса
RU1759	за
RU1760	сезоном
RU1761	дождей
RU1762	обычно
RU1763	следует
RU1764	засуха.
RU1765	По
RU1766	африканским
RU1767	саваннам
RU1768	в
RU1769	поисках
RU1770	пастбищ
RU1771	и
RU1772	воды
RU1773	маршируюттравоядные.
RU1774	Без
RU1775	дождей
RU1776	на
RU1777	эти
RU1778	равнины
RU1779	приходит
RU1780	засуха,
RU1781	и
RU1782	трава
RU1783	уступает
RU1784	пыли
RU1785	и
RU1786	песку.
RU1787	слоны
RU1788	подвергаются
RU1789	серьёзной
RU1790	опасности,
RU1791	ведь
RU1792	им
RU1793	нужно
RU1794	пить
RU1795	практически
RU1796	ежедневно.
RU1797	И
RU1798	вот,
RU1799	гонимые
RU1800	жаждой,
RU1801	они
RU1802	проходят
RU1803	сотни
RU1804	километров
RU1805	по
RU1806	выжженным
RU1807	равнинам.
RU1808	Главная
RU1809	самка
RU1810	-
RU1811	матриарх
RU1812	-
RU1813	полагается
RU1814	на
RU1815	свою
RU1816	память
RU1817	и
RU1818	ведёт
RU1819	семью
RU1820	к
RU1821	водопоям,
RU1822	которые
RU1823	спасали
RU1824	их
RU1825	в
RU1826	предыдущие
RU1827	годы.
RU1828	Здесь
RU1829	вода
RU1830	ещё
RU1831	есть,
RU1832	но
RU1833	ею
RU1834	приходится
RU1835	делиться
RU1836	с
RU1837	разношерстной
RU1838	толпой
RU1839	изнывающих
RU1840	от
RU1841	жажды
RU1842	животных.
RU1843	Это
RU1844	-
RU1845	напряжённые
RU1846	времена.
RU1847	Днём
RU1848	на
RU1849	водопое
RU1850	властвуют
RU1851	слоны,
RU1852	но
RU1853	с
RU1854	наступлением
RU1855	сумерек
RU1856	равновесие
RU1857	сил
RU1858	смещается.
RU1859	Мучимые
RU1860	жаждой
RU1861	травоядные
RU1862	продолжают
RU1863	прибывать
RU1864	и
RU1865	ночью.
RU1866	В
RU1867	прохладе
RU1868	путешествовать
RU1869	легче.
RU1870	Но
RU1871	в
RU1872	темноте
RU1873	роли
RU1874	меняются.
RU1875	Ночное
RU1876	зрение
RU1877	слонов
RU1878	не
RU1879	многим
RU1880	лучше,
RU1881	чем
RU1882	у
RU1883	нас
RU1884	с
RU1885	вами.
RU1886	А
RU1887	у
RU1888	львов
RU1889	глаза
RU1890	куда
RU1891	более
RU1892	чувствительны,
RU1893	как
RU1894	у
RU1895	всех
RU1896	кошек.
RU1897	Дикие
RU1898	кошки
RU1899	голодны,
RU1900	и
RU1901	слоны
RU1902	это
RU1903	чувствуют.
RU1904	Обычно
RU1905	львы
RU1906	не
RU1907	охотятся
RU1908	на
RU1909	слонов,
RU1910	но
RU1911	отчаянные
RU1912	времена
RU1913	требуют
RU1914	отчаянных
RU1915	мер.
RU1916	В
RU1917	этом
RU1918	стаде
RU1919	слонов
RU1920	есть
RU1921	детёныши
RU1922	-
RU1923	более
RU1924	лёгкая
RU1925	добыча.
RU1926	Только
RU1927	как
RU1928	до
RU1929	них
RU1930	добраться?
RU1931	Взрослые
RU1932	окружают
RU1933	детёнышей
RU1934	и
RU1935	образуют
RU1936	неприступную
RU1937	стену.
RU1938	Продолжают
RU1939	прибывать
RU1940	отставшие
RU1941	от
RU1942	стада
RU1943	слоны.
RU1944	Этот
RU1945	слон
RU1946	пришёл
RU1947	один.
RU1948	Но
RU1949	он
RU1950	слишком
RU1951	велик
RU1952	для
RU1953	львов.
RU1954	А
RU1955	вот
RU1956	этот
RU1957	поменьше.
RU1958	Не
RU1959	попробовать
RU1960	ли?
RU1961	В
RU1962	одиночку
RU1963	у
RU1964	льва
RU1965	нет
RU1966	никаких
RU1967	шансов,
RU1968	но
RU1969	целый
RU1970	прайд
RU1971	-
RU1972	это
RU1973	другое
RU1974	дело.
RU1975	Здесь
RU1976	30
RU1977	львов,
RU1978	и
RU1979	все
RU1980	они
RU1981	-
RU1982	опытные
RU1983	охотники
RU1984	на
RU1985	слонов.
RU1986	Какая
RU1987	охотничья
RU1988	тактика.
RU1989	Львица
RU1990	верхом
RU1991	на
RU1992	слоне.
RU1993	Львы
RU1994	победили.
RU1995	Мяса
RU1996	этого
RU1997	слона
RU1998	хватит
RU1999	прайду
RU2000	как
RU2001	минимум
RU2002	на
RU2003	неделю.
RU2004	слоны
RU2005	знают,
RU2006	что
RU2007	эти
RU2008	водопои
RU2009	опасны,
RU2010	но
RU2011	у
RU2012	них
RU2013	нет
RU2014	выбора.
RU2015	Драмы,
RU2016	которые
RU2017	здесь
RU2018	разворачиваются
RU2019	-
RU2020	это
RU2021	жестокое
RU2022	напоминание
RU2023	о
RU2024	том,
RU2025	насколько
RU2026	важна
RU2027	вода
RU2028	для
RU2029	жизни
RU2030	на
RU2031	этих
RU2032	равнинах.
RU2033	Когда
RU2034	засушливый
RU2035	сезон
RU2036	наконец
RU2037	заканчивается,
RU2038	в
RU2039	выжженных
RU2040	солнцем
RU2041	африканских
RU2042	саваннах
RU2043	происходят
RU2044	радикальные
RU2045	перемены.
RU2046	По
RU2047	континенту
RU2048	проносятся
RU2049	дожди,
RU2050	необходимая
RU2051	трава
RU2052	оживает
RU2053	снова,
RU2054	и
RU2055	стада
RU2056	возвращаются.
RU2057	На
RU2058	протяжении
RU2059	месяцев
RU2060	они
RU2061	были
RU2062	разбросаны
RU2063	по
RU2064	огромной
RU2065	площади,
RU2066	собираясь
RU2067	вокруг
RU2068	крошечных
RU2069	водопоев,
RU2070	и
RU2071	вот
RU2072	опять
RU2073	наступили
RU2074	хорошие
RU2075	времена.
RU2076	Некоторые
RU2077	африканские
RU2078	саванны
RU2079	не
RU2080	похожи
RU2081	на
RU2082	другие.
RU2083	Здесь
RU2084	дождевая
RU2085	вода
RU2086	растекается
RU2087	по
RU2088	плоским
RU2089	равнинам.
RU2090	Трава
RU2091	покрыта
RU2092	водой
RU2093	полностью,
RU2094	но
RU2095	продолжает
RU2096	расти.
RU2097	Удивительные
RU2098	травянистые
RU2099	растения
RU2100	могут
RU2101	выдержать
RU2102	всё:
RU2103	наводнения,
RU2104	пожары,
RU2105	солнцепёк
RU2106	и
RU2107	стужу.
RU2108	После
RU2109	шести
RU2110	месяцев
RU2111	засухи
RU2112	на
RU2113	месте
RU2114	пыльных
RU2115	равнин
RU2116	снова
RU2117	вырастаеттравяной
RU2118	покров.
RU2119	Ради
RU2120	свежей
RU2121	зелени
RU2122	животные
RU2123	проделывают
RU2124	огромные
RU2125	расстояния.
RU2126	Многие
RU2127	виды
RU2128	животных
RU2129	совершают
RU2130	миграции
RU2131	эпических
RU2132	масштабов,
RU2133	чтобы
RU2134	застать
RU2135	время
RU2136	изобилия
RU2137	на
RU2138	месте.
RU2139	Некоторые
RU2140	находчивые
RU2141	животные
RU2142	обитают
RU2143	здесь
RU2144	круглый
RU2145	год.
RU2146	Бабуины
RU2147	живут
RU2148	здесь
RU2149	постоянно,
RU2150	но
RU2151	для
RU2152	того,
RU2153	чтобы
RU2154	добывать
RU2155	пропитание
RU2156	на
RU2157	затопленных
RU2158	равнинах,
RU2159	им
RU2160	пришлось
RU2161	изменить
RU2162	своё
RU2163	поведение.
RU2164	Пищи
RU2165	здесь
RU2166	много,
RU2167	но
RU2168	добраться
RU2169	до
RU2170	неё
RU2171	бывает
RU2172	не
RU2173	так-то
RU2174	просто.
RU2175	На
RU2176	ходу
RU2177	успевает
RU2178	подкрепиться
RU2179	цветочком
RU2180	или
RU2181	зелёным
RU2182	стеблем.
RU2183	А
RU2184	вот
RU2185	малышу
RU2186	нелегко,
RU2187	его
RU2188	волокут
RU2189	прямо
RU2190	по
RU2191	воде.
RU2192	Кончено,
RU2193	эта
RU2194	вода
RU2195	доставляет
RU2196	детёнышу
RU2197	неудобства,
RU2198	но
RU2199	он
RU2200	знает,
RU2201	где
RU2202	найти
RU2203	сухое
RU2204	место
RU2205	-
RU2206	забраться
RU2207	к
RU2208	маме
RU2209	на
RU2210	спину.
RU2211	сочная
RU2212	улитка
RU2213	-
RU2214	это
RU2215	достойная
RU2216	компенсация
RU2217	за
RU2218	промокшие
RU2219	лапы.
RU2220	Пережив
RU2221	засуху
RU2222	и
RU2223	голод
RU2224	животные
RU2225	могут
RU2226	на
RU2227	время
RU2228	забыть
RU2229	о
RU2230	них.
RU2231	На
RU2232	планете,
RU2233	которой
RU2234	управляют
RU2235	сезоны,
RU2236	великие
RU2237	равнины
RU2238	-
RU2239	это
RU2240	изменчивое
RU2241	царство
RU2242	изобилия
RU2243	и
RU2244	голода.
RU2245	В
RU2246	пик
RU2247	своего
RU2248	расцвета
RU2249	степи,
RU2250	саванны
RU2251	и
RU2252	прерии
RU2253	дают
RU2254	пищу
RU2255	самым
RU2256	многочисленным
RU2257	скоплениям
RU2258	животных
RU2259	на
RU2260	Земле.
RU2261	Продюсер
RU2262	ДЖОННИ
RU2263	КИЛИНГ
RU2264	Операторы:
RU2265	РИЧАРД
RU2266	БАРТОН,
RU2267	МАРТИН
RU2268	КОЛБЕК,
RU2269	ДЖАсТИН
RU2270	ЭВАНс,
RU2271	МАЙК
RU2272	ХОЛДИНГ,
RU2273	МАЙКЛ
RU2274	КЕЛЕМ
RU2275	и
RU2276	другие
RU2277	Композитор
RU2278	ДЖОРДЖ
RU2279	ФЕНТОН
RU2280	Продюсер
RU2281	сериала
RU2282	АЛИсТЕР
RU2283	ФОТЕРГИЛЛ
RU2284	Рассказывал
RU2285	НИКОЛАЙ
RU2286	ДРОЗДОВ
